Text,Sentiment
 transcript releas saturday impeach inquiri show ambassador gordon sondland play central role presid donald trump effort push ukrain conduct polit investig condit receiv need militari aid,"tf.Tensor(0, shape=(), dtype=int32)"
 get nobl idea not make 100 donald j trump transpar let american peopl decid hell donald trump realli guarante not reelect,"tf.Tensor(2, shape=(), dtype=int32)"
 kaepernick return nfl 100 conting whether donald trump still presid year noth more less,"tf.Tensor(2, shape=(), dtype=int32)"
 believ afraid america not readi thing wish peopl main focus should absolut beat donald trump and more moder candid way,"tf.Tensor(2, shape=(), dtype=int32)"
 trump heart attack rush walter reed saturday afternoon,"tf.Tensor(1, shape=(), dtype=int32)"
 donald trump terribl horribl no good veri bad thirti six hour,"tf.Tensor(0, shape=(), dtype=int32)"
 donald trump have teach us speak lie also teach us either believ beyond protocol rule norm and even law and constitut frank doesn t care,"tf.Tensor(0, shape=(), dtype=int32)"
 vote donald trump keep crimin white hous,"tf.Tensor(1, shape=(), dtype=int32)"
 dod have dump million dollar nfl leagu run donald trump closest friend cours kap not get sign anytim soon reason obvious anyon obfusc play devil advoc bootlick mouthpiec,"tf.Tensor(0, shape=(), dtype=int32)"
 elect updat michael bloomberg 2 9 berni sander 7 7 pete buttigieg 8 3 joe biden 12 5 elizabeth warren 16 7 donald trump 41 7,"tf.Tensor(0, shape=(), dtype=int32)"
 moscowmitchtraitor brown nose kellyann troll everyday do get tlump misogynist play 💩,"tf.Tensor(0, shape=(), dtype=int32)"
 first part mean first 200lbs today 200lbs tomorrow fat health polit trump donald physic election2020 😂 🤣,"tf.Tensor(2, shape=(), dtype=int32)"
 donald trump william barr america nation emerg two togeth bring more danger unit state anyth els world impeachandremov impeachtrumpnow impeachbarrnow 🇷 🇺,"tf.Tensor(2, shape=(), dtype=int32)"
 do think social greennewd good thing capit inher bad discuss inform watch donald trump jr adam carolla show via ppc,"tf.Tensor(2, shape=(), dtype=int32)"
 trump surviv impeach clear ll have thank jonathan freedland,"tf.Tensor(2, shape=(), dtype=int32)"
 donald trump jr new book may no 1 new york time best seller onli bulk order link republican parti via,"tf.Tensor(2, shape=(), dtype=int32)"
 white peopl think kap kneel hold bad cop account murder innoc blacc peopl mean hat and cop lmao man nigga elect donald trump and think obama offic 9 11 can t help em 😂 🤷,"tf.Tensor(0, shape=(), dtype=int32)"
